category,query,expected_answer_pattern,tone,use_case
"Product Search","Show me Lego","Here are the LEGO sets we have in stock:\n- **LEGO City Fire Station** – €49.99 (In Stock: 12)\n- **LEGO Technic Porsche** – €89.99 (In Stock: 5)\n- **LEGO Friends Heartlake School** – €39.99 (In Stock: 8)\n\nWould you like me to sort by price or age recommendation?","Helpful","customer_query"
"Product Search","Do you have any board games?","We have a great selection of board games! Here are a few:\n- **Monopoly** – €29.99 (Ages 8+)\n- **Cluedo** – €24.99 (Ages 10+)\n- **Jenga** – €19.99 (Ages 6+)\n- **Catan** – €44.99 (Ages 10+)\n\nWould you like to filter by age or price range?","Enthusiastic","customer_query"
"Product Search","I'm looking for Paw Patrol toys","Great choice! Here's what we have in Paw Patrol:\n- **Paw Patrol Rescue Tower** – €59.99 (In Stock: 4)\n- **Paw Patrol Vehicle Pack** – €24.99 (In Stock: 15)\n- **Paw Patrol Figures Set** – €14.99 (In Stock: 20)\n\nWould you like me to show you the most popular items first?","Friendly","customer_query"
"Product Search","What soft toys do you sell?","We have a lovely range of soft toys. Here's a selection by age group:\n\n**Ages 0–2 (Baby Safe):**\n- Jellycat Bashful Bunny – €24.99\n- Fisher-Price Snuggle Puppy – €19.99\n\n**Ages 3–6:**\n- Squishmallows 10\" – €14.99\n- Build-A-Bear Bundle – €39.99\n\n**Ages 7+:**\n- Giant Teddy 1m – €49.99\n\nWhich age group are you shopping for?","Warm","customer_query"
"Price & Budget","Lego under €50","Here are the LEGO sets under €50:\n- **LEGO City Police Car** – €19.99 (In Stock: 10)\n- **LEGO Creator 3-in-1 Dune Buggy** – €24.99 (In Stock: 7)\n- **LEGO Friends Pet Clinic** – €34.99 (In Stock: 6)\n- **LEGO Harry Potter Hedwig** – €44.99 (In Stock: 3)\n\nWould you like me to narrow this down by age recommendation?","Helpful","customer_query"
"Price & Budget","What's the cheapest drone?","The most affordable drone we currently have is:\n\n**Holy Stone HS210 Mini Drone** – €29.99\n- Ages 8+\n- Battery life: 15 mins\n- Features: One-key take-off, 3D flips\n- In Stock: 22\n\nWe also have mid-range options starting from €59.99 if you'd like something with a camera!","Informative","customer_query"
"Price & Budget","I have €100, what can I get?","With a €100 budget, here are some great options:\n\n**Tech & Gadgets:**\n- **Nintendo Switch Lite** – €99.99\n- **Ruko F11 Mini Drone** – €89.99\n\n**Building Sets:**\n- **LEGO Technic McLaren Senna** – €79.99\n- **LEGO Harry Potter Hogwarts Castle** – €94.99\n\n**Outdoor:**\n- **Razor A Kick Scooter** – €49.99 (pair with a toy!)\n\nWould you like me to show you best-sellers in this range?","Suggestive","customer_query"
"Age-based Recommendations","What's good for a 4-year-old?","For a 4-year-old, here are our top-rated picks:\n\n- **LEGO DUPLO My First Train** – €34.99 ⭐ 4.8/5\n- **Peppa Pig Playhouse** – €39.99 ⭐ 4.7/5\n- **Play-Doh Kitchen Set** – €24.99 ⭐ 4.6/5\n- **VTech Touch & Learn Activity Desk** – €54.99 ⭐ 4.5/5\n\nAll of these are suitable for ages 3–4. Is this for a birthday or just a treat?","Cheerful","customer_query"
"Age-based Recommendations","Gift for a 10-year-old boy","Great, here are the most popular picks for a 10-year-old boy:\n\n**LEGO:**\n- **LEGO Technic Bugatti Bolide** – €44.99 (Ages 9+)\n\n**RC & Action:**\n- **Ruko F11 Pro Drone** – €69.99 (Ages 8+)\n- **Nerf Elite 2.0 Eaglepoint** – €34.99 (Ages 8+)\n\n**Gaming:**\n- **Nintendo Switch – Mario Kart 8 Bundle** – €299.99\n\nWhat's your budget? I can narrow it down further!","Energetic","customer_query"
"Age-based Recommendations","Something for a baby","For babies (0–24 months), here are our most popular items:\n\n- **Fisher-Price Deluxe Kick & Play Piano Gym** – €49.99\n- **Lamaze Freddie the Firefly** – €19.99\n- **Tommee Tippee Perfect Prep Machine** – €59.99\n- **Baby Einstein Take Along Tunes** – €12.99\n\nAll of these are designed for sensory development and safety. Are you looking for a gift or something specific?","Gentle","customer_query"
"Order Tracking","Track my order","I'd be happy to help track your order! To look it up, I'll need either:\n- Your **Order ID** (starts with ST-2026-xxxx)\n- Or the **email address** used at checkout\n\nCould you please provide one of those?","Helpful","customer_query"
"Order Tracking","Where's my order ST-2026-0001?","Let me check that for you!\n\n**Order ST-2026-0001**\n- **Status:** Shipped\n- **Items:** LEGO City Fire Station x1\n- **Tracking Number:** 1Z999AA10123456784\n- **Carrier:** DPD\n- **Estimated Delivery:** Wednesday 24 July\n\nYour parcel is currently at the **Dublin sorting facility**. You can track it live at [dpd.ie/track] — would you like me to send the tracking link to your phone?","Reassuring","customer_query"
"Order Tracking","What did Sarah Murphy order?","Let me look up the order history for Sarah Murphy…\n\n**Recent Orders:**\n1. **Order ST-2026-0042** – Delivered 10 July\n   - Paw Patrol Rescue Tower – €59.99\n   - Squishmallows 10\" – €14.99\n\n2. **Order ST-2026-0067** – Shipped 18 July\n   - LEGO Friends Heartlake School – €39.99\n\nWould you like tracking details for the shipped order?","Professional","customer_query"
"Order Tracking","When will my order arrive?","I'd be happy to check the ETA for your order! Could you please share your **Order ID** so I can look it up?\n\nOnce I have it, here's what I'll check:\n- **Processing** → Usually ships in **1–2 business days**\n- **Shipped** → Delivery in **2–5 business days** depending on location\n- **Delayed** → I'll check with the courier and update you","Helpful","customer_query"
"Returns & Cancellations","Can I return this?","Of course! Here's our returns policy:\n\n- **Returns Window:** 30 days from delivery\n- **Condition:** Items must be unused and in original packaging\n- **Process:** We'll provide a free returns label\n\nTo get started, could you please confirm your **Order ID** and which item you'd like to return?","Empathetic","customer_query"
"Returns & Cancellations","I want to cancel my order","I understand you'd like to cancel. Here's how it works:\n\n- **Before dispatch:** We can cancel immediately and issue a full refund within 3–5 business days.\n- **After dispatch:** We can't cancel, but you can return it within 30 days of delivery.\n\nCould you please provide your **Order ID** so I can check the current status?","Helpful","customer_query"
"Returns & Cancellations","My toy arrived broken","Oh no, I'm really sorry to hear that! Let me help you get this sorted right away.\n\nHere's what we'll do:\n1. **Return:** Free returns label emailed to you\n2. **Refund/Replacement:** Your choice — we'll process it as soon as the item is scanned by the courier\n3. **Timeline:** Refund in 3–5 business days, replacement shipped within 24 hours\n\nCould you please share your **Order ID** and let me know if you'd prefer a **refund or replacement**?","Apologetic","customer_query"
