sku,name,category,age_range,price,stock,rating,description,tags
LE-001,LEGO City Fire Station,LEGO & Building,5+,79.99,25,4.7,"Fully equipped fire station with truck, helicopter, and 6 minifigures for rescue action.",LEGO,city,fire,rescue,minifigures,building
LE-002,LEGO Technic Porsche 911,LEGO & Building,10+,149.99,12,4.9,"Detailed 1,580-piece Porsche 911 RSR replica with working steering and suspension.",LEGO,technic,porsche,cars,engineering,model
LE-003,LEGO Creator Medieval Castle,LEGO & Building,8+,109.99,8,4.6,"3-in-1 medieval castle with tower, drawbridge, horse cart and 3 minifigures.",LEGO,creator,castle,medieval,3in1,knights
LE-004,LEGO Duplo Farm,LEGO & Building,2+,44.99,30,4.8,"Large Duplo farm set with animals, tractor, farmer and barn for little builders.",LEGO,duplo,farm,animals,toddler,preschool
LE-005,LEGO Friends Beach House,LEGO & Building,6+,64.99,18,4.5,"Heartlake City beach house with pool, waterslide, kayak and 3 Friends minidolls.",LEGO,friends,beach,house,pool,summer
LE-006,LEGO Star Wars Millennium Falcon,LEGO & Building,8+,169.99,7,4.9,"Iconic 1,414-piece Millennium Falcon with Han Solo, Chewbacca and Rey minifigures.",LEGO,starwars,millenniumfalcon,spaceship,minifigures
LE-007,LEGO Harry Potter Hogwarts Castle,LEGO & Building,9+,139.99,10,4.8,"Hogwarts Castle model with 3,010 pieces, 10 minifigures and 5 owl figurines.",LEGO,harrypotter,hogwarts,castle,wizard,magic
LE-008,LEGO Icons Vespa 125,LEGO & Building,18+,99.99,6,4.7,"Authentic Vespa 125 replica in pastel blue with helmet, basket and flower bouquet.",LEGO,icons,vespa,scooter,adult,display
LE-009,LEGO Speed Champions Lamborghini,LEGO & Building,7+,24.99,42,4.6,"Buildable Lamborghini Countach with driver minifigure and racing helmet.",LEGO,speed,champions,lamborghini,racing,car
LE-010,LEGO Minecraft The Cave,LEGO & Building,7+,34.99,22,4.5,"Minecraft cave adventure with Steve, zombie, spider and exploding Creeper figures.",LEGO,minecraft,cave,steve,creeper,survival
LE-011,LEGO Disney Princess Castle,LEGO & Building,5+,74.99,15,4.7,"Enchanted Disney castle with Cinderella, Ariel, Tiana and 4 other mini-dolls.",LEGO,disney,princess,castle,dolls,fairytale
LE-012,LEGO Marvel Avengers Tower,LEGO & Building,8+,99.99,9,4.8,"Avengers Tower with Iron Man, Captain America, Thor, Black Widow and Hulk.",LEGO,marvel,avengers,tower,superheroes,minifigures
LE-013,LEGO Architecture London Skyline,LEGO & Building,12+,54.99,20,4.6,"Build London landmarks including Big Ben, Tower Bridge and the London Eye.",LEGO,architecture,london,skyline,landmarks,display
LE-014,LEGO Classic Creative Box,LEGO & Building,4+,34.99,45,4.8,"500-piece brick box with 35 colours and 2 baseplates for endless creativity.",LEGO,classic,creative,bricks,building,starter
ACT-001,Marvel Spider-Man Action Figure,Action Figures & Dolls,5+,24.99,35,4.6,"12-inch Spider-Man figure with web-shooting action and 15 articulated joints.",marvel,spiderman,actionfigure,superhero,articulated
ACT-002,Barbie Dreamhouse Playset,Action Figures & Dolls,3+,119.99,11,4.7,"Three-storey Dreamhouse with 10 rooms, elevator, slide and 25 accessories.",barbie,dreamhouse,dollhouse,fashion,playset,accessories
ACT-003,Bluey Family Home Playset,Action Figures & Dolls,3+,39.99,28,4.9,"Bluey family home with 4 rooms, Bluey, Bingo, Chilli and Bandit figures.",bluey,heeler,family,home,playset,australian
ACT-004,Pokémon Battle Figure Set,Action Figures & Dolls,5+,19.99,40,4.5,"Set of 6 Pokémon figures including Pikachu, Charizard, Eevee and Mewtwo.",pokemon,battle,figures,pikachu,charizard,collectible
ACT-005,PAW Patrol Adventure Bay Set,Action Figures & Dolls,3+,49.99,20,4.8,"Complete Adventure Bay set with Chase, Marshall, Skye, Rubble and Zuma.",pawpatrol,adventure,bay,puppies,rescue,chase
ACT-006,Hot Wheels 20-Car Gift Pack,Action Figures & Dolls,4+,19.99,50,4.5,"20 assorted Hot Wheels die-cast cars in a reusable storage case.",hotwheels,cars,diecast,racing,collection,giftpack
ACT-007,Disney Frozen Elsa & Anna Dolls,Action Figures & Dolls,3+,29.99,22,4.7,"Frozen II fashion dolls with Elsa and Anna in authentic movie costumes.",disney,frozen,elsa,anna,dolls,fashion
ACT-008,DC Batman Figure,Action Figures & Dolls,5+,22.99,18,4.5,"12-inch Batman figure with cape, grappling hook and 14 points of articulation.",dc,batman,actionfigure,gotham,superhero,articulated
ACT-009,CoComelon JJ Figure Set,Action Figures & Dolls,1+,14.99,38,4.6,"JJ, TomTom and YoYo figures with 5 accessories from the CoComelon world.",cocomelon,jj,tomtom,yoyo,figures,preschool
ACT-010,My Little Pony Friendship Castle,Action Figures & Dolls,4+,44.99,14,4.6,"Friendship Castle with Twilight Sparkle, Rainbow Dash and Pinkie Pie ponies.",mylittlepony,pony,castle,friendship,rainbowdash,sparkle
BRD-001,Monopoly Dublin Edition,Board Games & Puzzles,8+,34.99,32,4.7,"Trade Dublin landmarks from Trinity College to Temple Bar in this city edition.",monopoly,dublin,boardgame,property,trading,ireland
BRD-002,Scrabble Original,Board Games & Puzzles,10+,29.99,27,4.8,"Classic word game with wooden tiles, board and letter racks for 2-4 players.",scrabble,wordgame,classic,family,spelling,boardgame
BRD-003,Jenga Classic,Board Games & Puzzles,6+,19.99,44,4.6,"Wooden block stacking game. Pull a block, place it on top without toppling the tower.",jenga,stacking,blocks,party,family,dexterity
BRD-004,Master Chess Set,Board Games & Puzzles,7+,24.99,15,4.5,"Wooden chess set with weighted pieces, felted bases and folding board.",chess,strategy,wooden,classic,twoplayer,boardgame
BRD-005,1000-Piece Irish Landscape Puzzle,Board Games & Puzzles,10+,14.99,36,4.7,"Stunning aerial photograph of the Cliffs of Moher in a 1000-piece jigsaw.",puzzle,jigsaw,1000pieces,cliffs,moher,ireland
BRD-006,UNO Classic Card Game,Board Games & Puzzles,7+,9.99,48,4.6,"Fast-paced family card game with action cards including Skip, Reverse and Wild.",uno,cards,family,party,classic,fastpaced
BRD-007,Cluedo Mystery Game,Board Games & Puzzles,8+,26.99,21,4.5,"Solve the murder mystery in Tudor Manor with 6 suspects, weapons and rooms.",cluedo,mystery,detective,whodunnit,murder,boardgame
BRD-008,Risk Global Domination,Board Games & Puzzles,10+,34.99,9,4.4,"Conquer the world in this strategy board game with 6 armies and 42 territories.",risk,strategy,war,territory,boardgame,conquest
BRD-009,Ravensburger 4-Puzzle Set,Board Games & Puzzles,4+,16.99,30,4.6,"Set of 4 progressive puzzles with 12, 16, 20 and 24 pieces for toddlers.",puzzle,ravensburger,progressive,toddler,animals,set
